7
Zero R
K-Nearest Neighbors
Logistic Regression
Multi-nomial Naïve Bayes
Random Forest
Support Vector Machine
Multi-Layer Perceptron
                  nudity | 0.7475  | 0.7212  | 0.5713  | 0.6109  | 0.7550  | 0.7475  | 0.7440  | 0.2948  |
        sex_and_intimacy | 0.5817  | 0.6190  | 0.5844  | 0.5939  | 0.6255  | 0.5817  | 0.5967  | 0.6075  |
     violence_and_horror | 0.6552  | 0.6895  | 0.5617  | 0.5792  | 0.6620  | 0.6552  | 0.6473  | 0.3823  |
  gay_lesbian_characters | 0.8937  | 0.4471  | 0.3455  | 0.3388  | 0.8362  | 0.8937  | 0.8490  | 0.1837  |
                 overall | 0.7224  | 0.7293  | 0.6613  | 0.6862  | 0.7265  | 0.7224  | 0.7214  | 0.3299  |
                 Average | 0.7226  | 0.6072  | 0.5352  | 0.5454  | 0.7188  | 0.7226  | 0.7122  | 0.3729  |
    crude_humor_language | 0.65051 | 0.43598 | 0.43946 | 0.43719 | 0.65438 | 0.65051 | 0.65177 | 0.58170 |
drug_alcohol_tobacco_use | 0.64191 | 0.31291 | 0.34866 | 0.32959 | 0.58201 | 0.64191 | 0.61012 | 0.42455 |
                 kissing | 0.83112 | 0.78658 | 0.79738 | 0.79159 | 0.83478 | 0.83112 | 0.83268 | 0.16888 |
               profanity | 0.64504 | 0.58391 | 0.53727 | 0.54906 | 0.64316 | 0.64504 | 0.63868 | 0.50665 |
                  nudity | 0.73260 | 0.70414 | 0.53566 | 0.56302 | 0.73648 | 0.73260 | 0.72464 | 0.32213 |
        sex_and_intimacy | 0.53245 | 0.56203 | 0.53105 | 0.54031 | 0.57301 | 0.53245 | 0.54730 | 0.68647 |
     violence_and_horror | 0.55121 | 0.56676 | 0.47116 | 0.48926 | 0.56707 | 0.55121 | 0.54452 | 0.54027 |
  gay_lesbian_characters | 0.89289 | 0.29763 | 0.33333 | 0.31447 | 0.79724 | 0.89289 | 0.84236 | 0.18921 |
                 overall | 0.68882 | 0.70364 | 0.62629 | 0.65377 | 0.69281 | 0.68882 | 0.68720 | 0.36669 |
                 Average | 0.68471 | 0.53124 | 0.49925 | 0.50181 | 0.67352 | 0.68471 | 0.67401 | 0.42748 |
